term,window,conf.low,estimate,conf.high,p.value,outcome
DPHP,3y,-15055.650,-3302.703,8450.243,0.6439225648611739,BrainSegVol
BCEtP,birth,-550.473,62.238,674.948,0.8673071233545353,SubCortGrayVol
BCEtP,prenatal,-550.473,62.238,674.948,0.8673071233545353,SubCortGrayVol
BCEtP,3y,-550.473,62.238,674.948,0.8673071233545353,SubCortGrayVol
BDCPP,birth,-445.758,123.553,692.864,0.7211145619100415,SubCortGrayVol
BDCPP,prenatal,-445.758,123.553,692.864,0.7211145619100415,SubCortGrayVol
BDCPP,3y,-445.758,123.553,692.864,0.7211145619100415,SubCortGrayVol
DBuP,birth,-1009.635,-428.737,152.161,0.22474819098932952,SubCortGrayVol
DBuP,prenatal,-1009.635,-428.737,152.161,0.22474819098932952,SubCortGrayVol
DBuP,3y,-1009.635,-428.737,152.161,0.22474819098932952,SubCortGrayVol
DPHP,birth,-480.237,113.539,707.315,0.7531251135572128,SubCortGrayVol
DPHP,prenatal,-480.237,113.539,707.315,0.7531251135572128,SubCortGrayVol
DPHP,3y,-480.237,113.539,707.315,0.7531251135572128,SubCortGrayVol
BCEtP,birth,-2428.586,2336.458,7101.502,0.4199396532057771,TotalGrayVol
BCEtP,prenatal,-2428.586,2336.458,7101.502,0.4199396532057771,TotalGrayVol
BCEtP,3y,-2428.586,2336.458,7101.502,0.4199396532057771,TotalGrayVol
BDCPP,birth,-4307.303,2408.446,9124.195,0.5552656213210982,TotalGrayVol
BDCPP,prenatal,-4307.303,2408.446,9124.195,0.5552656213210982,TotalGrayVol
BDCPP,3y,-4307.303,2408.446,9124.195,0.5552656213210982,TotalGrayVol
DBuP,birth,-10334.466,-2342.591,5649.284,0.6297050207049959,TotalGrayVol
DBuP,prenatal,-10334.466,-2342.591,5649.284,0.6297050207049959,TotalGrayVol
DBuP,3y,-10334.466,-2342.591,5649.284,0.6297050207049959,TotalGrayVol
DPHP,birth,-9449.957,-2452.734,4544.489,0.5642299766809541,TotalGrayVol
DPHP,prenatal,-9449.957,-2452.734,4544.489,0.5642299766809541,TotalGrayVol
DPHP,3y,-9449.957,-2452.734,4544.489,0.5642299766809541,TotalGrayVol
BCEtP,birth,-3985.185,5525.861,15036.907,0.3392489951875538,SupraTentorialVol
BCEtP,prenatal,-3985.185,5525.861,15036.907,0.3392489951875538,SupraTentorialVol
BCEtP,3y,-3985.185,5525.861,15036.907,0.3392489951875538,SupraTentorialVol
BDCPP,birth,-5341.852,5775.299,16892.451,0.39283218744340476,SupraTentorialVol
BDCPP,prenatal,-5341.852,5775.299,16892.451,0.39283218744340476,SupraTentorialVol
BDCPP,3y,-5341.852,5775.299,16892.451,0.39283218744340476,SupraTentorialVol
DBuP,birth,-13004.497,-1210.267,10583.964,0.8659642616303869,SupraTentorialVol
DBuP,prenatal,-13004.497,-1210.267,10583.964,0.8659642616303869,SupraTentorialVol
DBuP,3y,-13004.497,-1210.267,10583.964,0.8659642616303869,SupraTentorialVol
DPHP,birth,-14301.575,-3202.692,7896.191,0.635044487549105,SupraTentorialVol
DPHP,prenatal,-14301.575,-3202.692,7896.191,0.635044487549105,SupraTentorialVol
DPHP,3y,-14301.575,-3202.692,7896.191,0.635044487549105,SupraTentorialVol
BCEtP,birth,-12.908,7.343,27.595,0.550879200964293,Left_Inf_Lat_Vent
BCEtP,prenatal,-12.908,7.343,27.595,0.550879200964293,Left_Inf_Lat_Vent
BCEtP,3y,-12.908,7.343,27.595,0.550879200964293,Left_Inf_Lat_Vent
BDCPP,birth,0.648,17.755,34.862,0.0877954420624254,Left_Inf_Lat_Vent
BDCPP,prenatal,-36.396,-6.719,22.959,0.7092625638373691,Left_Inf_Lat_Vent
BDCPP,3y,0.648,17.755,34.862,0.0877954420624254,Left_Inf_Lat_Vent
DBuP,birth,-12.607,9.428,31.464,0.4815799412703389,Left_Inf_Lat_Vent
DBuP,prenatal,-12.607,9.428,31.464,0.4815799412703389,Left_Inf_Lat_Vent
DBuP,3y,-12.607,9.428,31.464,0.4815799412703389,Left_Inf_Lat_Vent
DPHP,birth,-16.597,2.364,21.325,0.8374990407278705,Left_Inf_Lat_Vent
